"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"70273026451","2020-05-10T00:53:00","FM-15","7",,"SE","1.7","mi","TEMP, PRECIP, SNOW","131",,"MMTS, SRG, SNOWBOARD, SNOWSTAKE","61.1561","-149.9847","ANCHORAGE FORECAST OFFICE, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.13","32","48","0.00",,,,"54","30.13","CLR:00","29.99","10.00","41","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09805/10/20 00:53:02 METAR PANC 100953Z 00000KT 10SM CLR 09/00 A3013 RMK AO2 SLP203 T00890000 $ (KTH)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-06-01"
"70273026451","2020-05-10T01:53:00","FM-15","7",,"SE","1.7","mi","TEMP, PRECIP, SNOW","131",,"MMTS, SRG, SNOWBOARD, SNOWSTAKE","61.1561","-149.9847","ANCHORAGE FORECAST OFFICE, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.11","31","53","0.00",,,,"43","30.11","CLR:00","29.97","10.00","43","030",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09905/10/20 01:53:02 METAR PANC 101053Z 03006KT 10SM CLR 12/M01 A3011 RMK AO2 SLP198 T01171006 $ (KTH)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-06-01"
"70273026451","2020-05-10T02:53:00","FM-15","7",,"SE","1.7","mi","TEMP, PRECIP, SNOW","131",,"MMTS, SRG, SNOWBOARD, SNOWSTAKE","61.1561","-149.9847","ANCHORAGE FORECAST OFFICE, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.11","32","45","0.00",,"+0.01","8","61","30.11","CLR:00","29.97","10.00","40","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11605/10/20 02:53:02 METAR PANC 101153Z 00000KT 10SM CLR 07/00 A3011 RMK AO2 SLP198 T00720000 10156 20067 58004 $ (KTH)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-06-01"
"70273026451","2020-05-10T03:00:00","FM-12","4",,"SE","1.7","mi","TEMP, PRECIP, SNOW","131",,"MMTS, SRG, SNOWBOARD, SNOWSTAKE","61.1561","-149.9847","ANCHORAGE FORECAST OFFICE, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,,"32","45",,,"+0.01","8","61","30.11",,"29.94","9.94","40","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN07470273 32966 00000 10072 20000 30138 40198 58004 91153 333 20067 555 91012=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-06-01"
"70273026451","2020-05-10T03:53:00","FM-15","7",,"SE","1.7","mi","TEMP, PRECIP, SNOW","131",,"MMTS, SRG, SNOWBOARD, SNOWSTAKE","61.1561","-149.9847","ANCHORAGE FORECAST OFFICE, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.10","32","45","0.00",,,,"61","30.11","CLR:00","29.96","10.00","40","360",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09805/10/20 03:53:02 METAR PANC 101253Z 36003KT 10SM CLR 07/00 A3010 RMK AO2 SLP195 T00720000 $ (KTH)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-06-01"
"70273026451","2020-05-10T04:53:00","FM-15","7",,"SE","1.7","mi","TEMP, PRECIP, SNOW","131",,"MMTS, SRG, SNOWBOARD, SNOWSTAKE","61.1561","-149.9847","ANCHORAGE FORECAST OFFICE, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.10","33","44","0.00",,,,"65","30.11","BKN:07 130","29.96","10.00","39","190",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10105/10/20 04:53:02 METAR PANC 101353Z 19003KT 10SM BKN130 07/01 A3010 RMK AO2 SLP195 T00670006 $ (KTH)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-06-01"
"70273026451","2020-05-10T05:53:00","FM-15","7",,"SE","1.7","mi","TEMP, PRECIP, SNOW","131",,"MMTS, SRG, SNOWBOARD, SNOWSTAKE","61.1561","-149.9847","ANCHORAGE FORECAST OFFICE, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.10","34","46","0.00",,"+0.01","6","63","30.10","BKN:07 130","29.96","10.00","41","010",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10705/10/20 05:53:02 METAR PANC 101453Z 01003KT 10SM BKN130 08/01 A3010 RMK AO2 SLP193 T00780011 56005 $ (KTH)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-06-01"
"70273026451","2020-05-10T06:53:00","FM-15","7",,"SE","1.7","mi","TEMP, PRECIP, SNOW","131",,"MMTS, SRG, SNOWBOARD, SNOWSTAKE","61.1561","-149.9847","ANCHORAGE FORECAST OFFICE, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.10","36","48","0.00",,,,"63","30.10","SCT:04 75 BKN:07 130 BKN:07 200","29.96","10.00","43","300",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12605/10/20 06:53:02 METAR PANC 101553Z 30004KT 10SM SCT075 BKN130 BKN200 09/02 A3010 RMK AO2 SLP193 ACSL ALQDS T00890022 $ (NLW)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-06-01"
"70273026451","2020-05-10T07:53:00","FM-15","7",,"SE","1.7","mi","TEMP, PRECIP, SNOW","131",,"MMTS, SRG, SNOWBOARD, SNOWSTAKE","61.1561","-149.9847","ANCHORAGE FORECAST OFFICE, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.11","33","50","0.00",,,,"52","30.11","SCT:04 75 BKN:07 100 BKN:07 160","29.97","10.00","43","350",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12605/10/20 07:53:02 METAR PANC 101653Z 35003KT 10SM SCT075 BKN100 BKN160 10/01 A3011 RMK AO2 SLP196 SH DSNT NW T01000006 $ (NLW)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-06-01"
"70273026451","2020-05-10T08:53:00","FM-15","7",,"SE","1.7","mi","TEMP, PRECIP, SNOW","131",,"MMTS, SRG, SNOWBOARD, SNOWSTAKE","61.1561","-149.9847","ANCHORAGE FORECAST OFFICE, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,"30.10","35","56","0.00",,"+0.00","8","46","30.10","SCT:04 70 BKN:07 90 BKN:07 140","29.96","10.00","46","360",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET14405/10/20 08:53:02 METAR PANC 101753Z 36003KT 10SM SCT070 BKN090 BKN140 13/02 A3010 RMK AO2 SLP192 SH DSNT NW T01330017 10133 20056 58001 $ (NLW)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-06-01"
